well_index,well_time_ms,curve_fit_time_ms,threshold_time_ms
0,13.517749999664375,13.447958999677212,0.05570800021814648
1,10.351625000112108,9.87504100157821,0.46266700155683793
2,10.168165999857592,9.860125001068809,0.2943340005003847
3,10.225916001218138,9.932124999977532,0.2802910003083525
4,13.894166999307345,13.843499998984043,0.03779100006795488
5,14.217415999155492,13.93895799992606,0.2654590007296065
6,12.525416999778827,12.263583001185907,0.24941700030467473
7,10.233332999632694,9.969166001610574,0.25100000129896216
8,23.361999999906402,23.315667000133544,0.03425000068091322
9,12.754291999954148,12.49262499914039,0.2491670002200408
10,12.050084000293282,11.765707999074948,0.2714160000323318
11,10.885583000344923,10.631125000145403,0.24174999998649582
12,13.034708999839495,12.98595799926261,0.035167000532965176
13,10.177542000747053,9.91266699929838,0.25224999990314245
14,11.886959000548813,11.621875000855653,0.2521249989513308
15,11.50824999967881,11.250208001001738,0.24462500005029142
16,12.600291000126163,12.548082999273902,0.039832999391364865
17,10.09370899919304,9.831249999479041,0.2497080004104646
18,10.077375000037136,9.824958000535844,0.23945899920363445
19,9.9160829995526,9.659208000812214,0.24445799863315187
20,21.990250001181266,21.94283400058339,0.03487499998300336
21,9.831041999859735,9.569249999913154,0.2491669984010514
22,12.251916999957757,11.98741699954553,0.2515420001145685
23,10.40087500041409,10.140500000488828,0.24770799973339308
24,20.964875000572647,20.91695900162449,0.035208999179303646
25,13.435833001494757,13.168082999982289,0.2546250016166596
26,11.665542000628193,11.41000000097847,0.24245799977506977
27,15.938667000227724,15.649290999135701,0.2762499989330536
28,15.279084000212606,15.225125000142725,0.03895800000464078
29,14.504750000924105,14.238207999369479,0.2519999998185085
30,10.49224999951548,10.233167000478716,0.2459579991409555
31,11.160750000271946,10.875416999624576,0.2712500008783536
32,26.506916001380887,26.457040999957826,0.03679200017359108
33,13.970124999104883,13.659832999110222,0.29716700009885244
34,11.758208000173909,11.490999999296037,0.25395800003025215
35,10.756791998574045,10.493207999388687,0.2505000011296943
36,15.176790999248624,15.128166000067722,0.03562500023690518
37,17.13749999908032,17.087041998820496,0.03749999996216502
38,22.009124999385676,21.96058400113543,0.03554199975042138
39,12.324415998591576,12.059083001076942,0.25224999990314245
40,17.73829199919419,17.687375000605243,0.037290999898687005
41,12.28787500076578,11.99508399986371,0.2756670000962913
42,14.523249999911059,14.257750000979286,0.25183300022035837
43,12.319916999331326,12.054916998749832,0.25145800100290217
44,14.508125001157168,14.460250000411179,0.03483300133666489
45,10.815916999490582,10.553166999670793,0.2499170004739426
46,11.31600000007893,11.04516699888336,0.25758300034794956
47,10.712499999499414,10.453665998284123,0.24583300000813324
48,26.32900000025984,26.28004200050782,0.03612500040617306
49,10.352958999646944,10.091917001773254,0.24708300043130293
50,10.354625001127715,10.094582999954582,0.24699999994481914
51,10.92541699836147,10.667417000149726,0.24483299966959748
52,21.623708000333863,21.575417000349262,0.03429099888307974
53,13.090624999676947,12.812000000849366,0.2619160004542209
54,13.36908400116954,13.112458000250626,0.24354199922527187
55,12.532415999885416,12.276292000024114,0.2430420008749934
56,18.760958999337163,18.71249999931024,0.03541599835443776
57,10.548917000051006,10.28204099930008,0.25312499928986654
58,10.065500000564498,9.80725000044913,0.24449999909847975
59,10.55754099979822,10.287708000760176,0.2565830000094138
60,17.037957999491482,16.98829199995089,0.036915998862241395
61,26.106875000550644,26.047625000501284,0.04175000140094198
62,10.311250000086147,10.036250001576263,0.26162499852944165
63,12.660500000492902,12.398832999679144,0.24775000019872095
64,13.732583000091836,13.682124999832013,0.036625000575440936
65,11.99691599867947,11.731167000107234,0.24775000019872095
66,14.873584001179552,14.594708000004175,0.26479200096218847
67,11.302083999908064,11.044792001484893,0.24341599964827765
68,24.237500001618173,24.18954199856671,0.034750000850181095
69,14.462541999819223,14.19375000114087,0.2551670004322659
70,13.231250000899308,12.973541999599547,0.24458299958496355
71,11.186374998942483,10.92695799889043,0.245917000938789
72,14.800875000219094,14.75166699856345,0.03545900108292699
73,10.575207999863778,10.316665999198449,0.2451250002195593
74,12.016333999781637,11.756707999666105,0.24574999952164944
75,10.294916000930243,10.034000000814558,0.2471249990776414
76,19.305374999021296,19.256625000707572,0.03474999903119169
77,11.865208000017446,11.58012499945471,0.2716250000958098
78,12.436499999239459,12.179625000499072,0.24362499971175566
79,10.364208999817492,10.096207999595208,0.24570799905632157
80,19.384791999982554,19.336999999723048,0.034750000850181095
81,10.557499999777065,10.27829099984956,0.2655829994182568
82,11.484041999210604,11.22479200057569,0.24562500038882717
83,10.403250000308617,10.121375000380795,0.26824999986274634
84,24.5744999992894,24.52708300006634,0.03362499955983367
85,16.99870799893688,16.94850000058068,0.03587500032153912
86,27.743582999391947,27.694625001458917,0.03508400004648138
87,16.20195900068211,16.15291600137425,0.03549999928509351
88,23.18991699939943,23.140875000535743,0.03533299968694337
89,10.222500000963919,9.954417000699323,0.2544579983805306
90,10.347166999054025,10.087874999953783,0.24537500030419324
91,12.81008400110295,12.542250000478816,0.25416700009373017
92,14.597291001336998,14.547041999321664,0.03587500032153912
93,12.737791999825276,12.479334000090603,0.24470800053677522
94,16.259500000160187,15.991709000445553,0.25429199922655243
95,16.80395800030965,16.524749999007327,0.2657090008142404
